Vendor;Rat;Region;Province;tipo;BSC Name;BSC ID*;Cell Name;Cell ID*
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7017E1;44103
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7017E2;44104
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7017E2;44104
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7017E3;44105
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7017E3;44105
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7018E1;44106
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7018E1;44106
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7018E2;44107
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7018E2;44107
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7018E3;44108
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7018E3;44108
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7019E1;43840
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7019E1;43840
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7019E2;43841
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7019E2;43841
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7019E3;43842
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7019E3;43842
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7020E1;43483
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7020E1;43483
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7020E2;43844
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7020E2;43844
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7020E3;43845
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7020E3;43845
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7021E1;43846
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7021E1;43846
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7021E2;43847
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7021E2;43847
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7021E3;43848
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7021E3;43848
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7022E1;43896
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7022E1;43896
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7022E2;43897
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7022E2;43897
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7022E3;43898
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7022E3;43898
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7023E1;43849
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7023E1;43849
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7023E2;43850
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7023E2;43850
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7023E3;43851
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7023E3;43851
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7024E1;43852
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7024E1;43852
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7024E2;43853
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7024E2;43853
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7024E3;43854
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7024E3;43854
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7025E1;43855
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7025E1;43855
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7025E2;43856
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7025E2;43856
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7025E3;43857
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7025E3;43857
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7026E1;43858
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7026E1;43858
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7026E2;43859
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7026E2;43859
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7026E3;43860
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7026E3;43860
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7027E1;43861
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7027E1;43861
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7027E2;43862
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7027E2;43862
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7027E3;43863
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7027E3;43863
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7028E1;45940
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7028E1;45940
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7028E2;45942
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7028E2;45942
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7028E3;45943
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7028E3;45943
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7029E1;43864
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7029E1;43864
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7029E2;43865
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7029E2;43865
